,star_key
1151,289.92072_41.54283
1152,298.48111_41.61534
1153,294.6741_42.07558
1154,294.63239_43.40047
1156,297.43039_39.84784
1157,297.43039_39.84784
1158,297.43039_39.84784
1159,297.70935_48.08085
1160,286.24344_50.04038
1161,297.04541_46.3287
1162,299.10327_40.8493
1164,298.9024_40.31953
1167,293.87265_46.71495
1168,289.73169_46.95382
1169,294.6741_42.07558
1171,297.13263_42.76825
1172,297.51907_42.77706
1173,290.85413_51.22281
1174,293.26093_44.86889
1175,288.84863_51.20905
1176,296.43814_46.61536
1177,296.87762_43.94163
1178,290.44736_40.44289
1179,295.32077_40.18736
1180,293.83688_40.41045
1183,294.99631_50.47006
1184,288.83936_46.98674
1185,288.83936_46.98674
1187,298.01443_42.95746
1189,296.95206_43.27197
1190,298.0231_43.36352
1191,286.74188_43.1901
1193,288.02271_43.54821
1194,290.61679_49.95762
1195,286.25644_46.89267
1196,297.04541_46.3287
1198,290.56668_40.67816
1199,288.83936_46.98674
1200,298.37384_40.61842
1201,297.84399_39.98981
1202,288.77103_40.66418
1203,288.77103_40.66418
1204,295.28723_41.22196
1205,289.56866_43.53861
1206,290.28845_43.75532
1207,290.82602_44.18411
1208,282.17941_46.45717
1209,294.31699_43.62934
1210,291.90704_49.26205
1211,294.31699_43.62934
1213,288.43576_43.76349
1214,295.21103_46.75723
1216,296.4176_46.73202
1217,289.86157_43.47277
1218,292.67807_46.72671
1219,292.67807_46.72671
1220,293.98157_46.68775
1221,283.60526_39.99798
1224,294.51126_38.7905
1225,298.86658_46.50224
1227,295.30008_40.55659
1228,298.51532_41.8912
1229,295.02567_46.956
1230,297.27057_50.12181
1231,296.52243_43.36337
1233,293.0795_43.07371
1234,288.44739_44.80168
1235,288.44739_44.80168
1237,291.96069_42.43301
1239,295.71225_45.58977
1240,289.59308_49.78116
1241,297.21408_41.66404
1243,284.34274_46.31655
1245,286.55807_38.40537
1246,286.47147_49.64902
1247,286.47147_49.64902
1248,286.47147_49.64902
1249,286.47147_49.64902
1250,292.02045_44.87622
1251,297.35928_49.79755
1255,288.57443_40.98866
1256,292.13297_41.54754
1257,287.36127_43.73878
1258,300.41751_45.60552
1259,292.49963_46.32441
1260,292.49963_46.32441
1264,285.38742_45.04905
1265,295.79218_47.6001
1266,289.83542_49.82563
1267,289.83542_49.82563
1268,289.83542_49.82563
1269,295.02567_46.956
1270,285.60254_50.11204
1272,286.28601_43.32046
1273,295.75412_42.53748
1275,286.40231_38.73854
1276,293.68192_45.81756
1277,289.93085_40.09775
1278,290.8154_39.81947
1279,298.62488_48.57745
1280,295.94641_42.65892
1282,294.64816_46.39236
1284,294.32553_46.00225
1285,294.32553_46.00225
1286,294.32553_46.00225
1288,289.62524_40.70873
1289,296.87683_41.08058
1291,286.66296_47.4137
1292,282.85992_42.66576
1294,283.84515_44.60909
1295,286.11536_37.967
1296,295.22879_45.97102
1297,295.22879_45.97102
1300,293.19537_49.3165
1302,292.04437_46.32903
1303,284.09457_41.18282
1304,295.8287_43.42549
1305,290.16525_49.92386
1306,299.25031_43.41044
1307,293.09253_41.35552
1308,292.28607_40.91359
1309,295.30753_38.88164
1310,292.28607_40.91359
1311,287.14066_47.11519
1312,287.14066_47.11519
1315,289.04221_42.88249
1316,295.18164_49.94578
1317,291.71146_42.3415
1319,291.22433_45.77809
1320,291.03363_42.26786
1323,285.01309_40.22075
1324,290.54855_38.49528
1325,290.54855_38.49528
1327,287.14066_47.11519
1328,289.19263_44.14932
1329,297.40155_46.824
1330,289.29626_46.45795
1331,290.24805_44.43524
1332,290.16513_51.46726
1333,298.49329_47.01304
1334,280.92612_44.08793
1335,298.97217_44.13238
1336,298.3266_45.31551
1337,285.79947_42.81178
1338,285.79947_42.81178
1339,295.94641_42.65892
1340,292.42108_37.68282
1342,300.37128_46.40828
1343,294.61301_45.06017
1344,289.2489_47.6501
1345,288.41769_46.59043
1346,296.06433_45.42862
1347,290.23764_41.33138
1348,288.79303_48.04023
1349,290.23764_41.33138
1350,290.23764_41.33138
1351,283.11377_48.13139
1353,289.19958_49.30572
1354,288.66891_39.82401
1355,281.66299_47.56858
1356,292.42108_37.68282
1357,294.15271_38.23304
1361,287.13058_42.35015
1362,285.10406_45.00817
1363,296.95886_46.39413
1364,292.0134_49.01912
1365,291.53439_47.0425
1366,285.12204_44.1106
1367,292.75732_43.42691
1368,294.61365_45.98462
1371,299.21317_41.42483
1372,284.18329_45.0741
1373,297.02109_41.37717
1375,292.59164_38.39966
1376,299.5495_45.76975
1377,296.46448_49.18291
1378,289.44452_41.31776
1379,290.14432_44.04995
1380,291.55695_39.22729
1381,291.55695_39.22729
1382,291.55695_39.22729
1383,294.2869_40.21381
1384,293.6792_46.85276
1385,288.79303_48.04023
1386,296.98605_42.72998
1387,283.80954_41.04124
1388,290.06049_47.16396
1389,298.83334_46.65453
1390,288.64627_50.78898
1391,281.89835_42.16579
1392,287.34674_47.77296
